Id,Vin,Make,Model,Year,TrafficRegisterDate
169,WBSPM9C50BE474365,Chevrolet,Camaro,2004,2008-06-05
170,JTDKTUD33ED682223,Mercury,Milan,2021,2008-09-27
171,JH4CU2F60AC859225,Land Rover,Range Rover Sport,2015,2008-06-24
172,1G6DL5E34C0135062,Isuzu,Rodeo,2019,2001-10-16
173,WBSKG9C58BE391963,Mercedes-Benz,SL-Class,2001,2009-01-07
174,WBA4A5C58FG769779,Mazda,RX-7,2018,2007-10-30
175,5TDBM5G16BS161350,Ford,Probe,2020,2001-09-13
176,1GYS4FEJ2CR624992,Mercury,Topaz,1999,2003-01-24
177,1GKS1GEJ7DR737718,Pontiac,Bonneville,2021,2000-11-13
178,1G4GC5GR0CF922854,Pontiac,Grand Prix,2019,2009-05-22
179,5UXFG2C52CL112745,Maserati,Quattroporte,2019,2006-10-01
180,1G4HC5EM6BU974088,Smart,Fortwo,2001,2021-02-19
181,WAULK78K79A238521,Mercury,Sable,2004,2007-07-22
182,19XFA1E39AE933159,Mercury,Cougar,2010,2008-07-10
183,JH4CU2E89CC099205,GMC,Yukon,2015,2007-12-24
184,1GD02ZCG0CF960553,Plymouth,Neon,2017,2016-02-21
185,1N6AF0LX7FN619585,Lamborghini,Diablo,2006,2013-05-18
186,2G4GZ5GV4B9842203,Toyota,Matrix,2005,2003-12-06
187,JTDKDTB37C1414106,Audi,Q7,2000,2010-02-01
188,WBABW53426P581906,Dodge,Ram 3500,2006,2008-02-20
189,3VW517AT0FM222786,Chevrolet,Express,2010,2006-10-11
190,WBA3T7C5XF5068495,Plymouth,Breeze,2005,2020-01-23
191,WAULT64B24N708596,Pontiac,GTO,2003,2019-01-20
192,1C3CDZBG9EN954101,Lincoln,MKZ,2014,2011-07-31
193,3D7JV1EP2BG418257,Nissan,Maxima,2013,2010-02-14
194,1YVHZ8BH1B5840055,Mercedes-Benz,SL-Class,2020,1999-11-22
195,1G6DX67D760734266,Dodge,Ram Van B150,2015,2016-09-01
196,5UMBT935X8L644865,Toyota,Corolla,2005,2018-03-17
197,1G6DL8EY1B0514824,Mercedes-Benz,SLR McLaren,2017,2018-09-16
198,1GKUCFDJ0AR295052,Ford,LTD,2008,2017-05-05
199,1C6RD6PT5CS718805,Volvo,V70,2000,2009-12-23
200,WA1AY74L18D426028,Toyota,Avalon,2013,2016-01-18
201,WBABW53436P721607,MINI,Cooper,1999,2014-08-11
202,KNADH4A3XA6335966,Suzuki,Verona,2003,2016-06-14
203,WAUAFAFL1AA268087,BMW,8 Series,2001,2015-05-26
204,5N1AN0NU5BC555878,Subaru,Legacy,2012,2005-07-22
205,1YVHZ8BH7B5678853,Audi,A6,1999,2001-04-18
206,JN1AV7AP1FM018778,Mercedes-Benz,M-Class,2000,2021-08-09
207,1D7RB1CP1BS946931,Buick,Roadmaster,2010,2006-10-01
208,WAULC58E15A653257,Mercedes-Benz,E-Class,2007,2006-08-31
209,1FMCU5K30AK911353,Mazda,MPV,2021,2018-02-11
210,1FMJU1F58AE668482,Buick,Skylark,2021,2003-05-12
211,3D73Y4CL8BG753234,Pontiac,Grand Prix,2010,2010-12-22
212,1G4GC5GR8CF192319,Pontiac,Bonneville,2006,2020-03-22
213,5TDDK3DCXFS082990,Mitsubishi,Mirage,2019,2004-09-20
214,SCBLF34F34C891646,Dodge,Ram Van 2500,2015,2000-12-20
215,WAUAH94F67N572183,Mercury,Sable,2013,2008-08-06
216,2HNYD28608H977703,Toyota,Venza,2011,2016-09-11
217,3FAHP0DC7BR462289,Lotus,Esprit,2017,2009-06-06
218,1GKS1KE00ER583736,Chrysler,Imperial,2005,2000-11-21
219,1G6DV8EP8E0803494,BMW,8 Series,1999,2016-08-30
220,JTJBC1BA5E2392817,Pontiac,Bonneville,2003,2012-02-17
221,WBA3V9C55FP115295,Mazda,CX-5,2002,2009-12-02
222,WDDNG7DBXDA372716,Ford,Bronco II,2018,2013-10-17
223,1GD11ZCG5CF776684,Hyundai,Elantra,2009,2020-09-01
224,1LNHL9EK7FG391278,Dodge,Viper,2020,2010-05-12
225,SCFFDCCD2AG303127,Mercedes-Benz,M-Class,2009,2001-07-01
226,1G6EL12Y71B211212,Subaru,Alcyone SVX,2000,2018-12-17
227,5TFCY5F19BX382798,Chevrolet,Suburban 1500,2006,2021-05-23
228,JN1BY1AR8EM260508,Mazda,B-Series,2003,2019-04-27
229,1FADP5AU0DL619977,GMC,1500 Club Coupe,2021,2011-06-22
230,WDDNG7BB5AA590464,Cadillac,Fleetwood,2021,2013-11-16
231,JA32U2FU9EU931940,Porsche,Cayenne,2005,2008-05-23
232,WBAEV33472K107624,Volvo,850,2010,2008-09-03
233,3GYFNJE66BS553966,Volkswagen,Golf,2010,2008-07-28
234,WBALL5C55EP197106,Nissan,Pathfinder,2004,2000-01-27
235,1N6AD0CU2FN375307,Nissan,Armada,2019,2001-02-21
236,2G4GS5EV3D9590017,Dodge,Grand Caravan,2020,2021-05-16
237,NM0KS9BN9AT607074,Honda,Accord,2005,2003-04-23
238,5J8TB2H55CA452979,Mazda,Miata MX-5,1999,2009-06-10
239,3C3CFFER3FT048873,Kia,Amanti,2008,2000-02-27
240,SCFEBBAK4BG966875,Hummer,H1,1999,2007-08-15
241,KMHHT6KD9AU573496,Mazda,Miata MX-5,2009,2005-11-18
242,1G4PR5SK0C4434881,Ford,F-Series,2019,2019-10-26
243,KNADH4A34A6509241,Dodge,Dakota Club,2011,2017-07-06
244,1G6DM8ED5B0347510,Pontiac,Sunbird,2018,2015-09-30
245,2C3CCABG9EH408105,Lincoln,MKT,2013,2000-07-28
246,1FTSW2B50AE359197,Land Rover,Range Rover,2000,2000-02-21
247,1D4PT2GK0AW030237,GMC,Jimmy,2001,2009-01-23
248,SCBBP9ZA7CC581636,Audi,V8,2018,1999-12-13
249,JM1CR2W36A0271517,Honda,Accord,2003,2008-06-09
250,JN1AJ0HP4CM180876,Lincoln,Town Car,2002,2003-10-27
251,19UYA42671A703925,Acura,TL,2004,2010-09-26
252,3CZRE3H3XBG256342,Dodge,Dakota,2000,2011-04-09
253,2C3CCASG3DH768985,Buick,Somerset,2010,2003-12-29
254,WAUSH98EX6A786749,Dodge,Ram Wagon B250,2000,2008-01-03
255,4T3BA3BB3CU706644,Toyota,Tacoma Xtra,2008,2019-05-27
256,1G6KP5E96AU732347,Nissan,300ZX,2010,2015-11-05
257,1FTSW3A53AE206434,Ford,Mustang,2001,2000-08-25
258,1YVHZ8BAXA5075039,Jaguar,XJ Series,2010,2015-06-07
259,5N1AA0NC6DN776951,Chevrolet,Express 2500,2003,2004-01-06
260,3C63DRGL5CG894851,Eagle,Talon,2001,2006-01-26
261,WAULT58E95A711647,BMW,M,2014,2012-04-24
262,1G4HF57968U022779,Subaru,Impreza,2008,2011-10-03
263,4T1BF3EK3AU342518,Honda,Fit,2017,2005-11-07
264,JHMGE8G37CS604828,Mercedes-Benz,500SL,2005,2010-02-06
265,WAULD54B84N507003,BMW,7 Series,2012,2015-07-07
266,2HNYD2H32DH799888,Volkswagen,Touareg,2005,2006-10-17
267,2FMDK4KC9AB890940,Chevrolet,Suburban 2500,2012,2011-07-30
268,KMHGC4DE9AU640488,Mazda,RX-8,2008,2006-10-09
269,4T1BF1FK0CU160815,Nissan,Pathfinder,2020,2000-08-31
270,WA1WMBFE6FD448980,Subaru,XT,2014,2020-08-06
271,2LMDJ6JK2DB355886,Volkswagen,Jetta,2012,2013-06-16
272,SAJWA6A79F8179978,Isuzu,Hombre Space,2014,2004-03-13
273,WBANA73505B389380,Mitsubishi,Mirage,2011,2002-02-13
274,WBANB53556C161484,Mazda,B-Series Plus,2017,2005-06-02
275,JTHBL1EF4B5659836,Ford,F250,2005,2017-01-02
276,1NXBU4EE3AZ967653,Suzuki,Grand Vitara,1999,2020-04-16
277,WBAYE4C55ED037917,Chevrolet,Silverado 2500,2017,2003-05-21
278,3D7TT2CT5BG003146,Isuzu,Hombre,2001,2017-03-16
279,1HGCR2F38DA259028,Mazda,Mazdaspeed 3,2003,2015-09-02
280,5N1AN0NW0FN662123,Ford,Escape,2005,2008-07-05
281,KNDMG4C78C6969446,Ferrari,F430,2014,2007-12-24
282,1FTSW2B5XAE637149,Toyota,MR2,2014,2015-06-05
283,WAUSH78E88A130508,Ford,F-Series,2014,2020-07-04
284,1G6DA1E31C0316487,Jeep,Compass,2015,2014-07-27
285,1G6AG5RX0E0837659,Mercedes-Benz,CL-Class,2018,2013-12-20
286,WAURV78T49A533747,Acura,NSX,2017,2008-08-24
287,WA1DGAFE5ED479015,Land Rover,Defender Ice Edition,2021,2009-04-05
288,2T1KU4EE1CC399410,Pontiac,Grand Am,1999,2001-06-15
289,5GAER23768J464028,Ford,GT,2015,2018-10-20
290,5YMGY0C56DL667293,Honda,Pilot,2000,2020-10-16
291,WBAGK93431D416899,Lotus,Esprit,2013,2002-04-10
292,3D7TT2CT8BG938967,Volvo,S80,2018,2009-07-19
293,WAUDV94F89N912295,Spyker,C8,2010,2012-10-17
294,JTHBK1GG4F2743896,Nissan,Sentra,2019,2011-04-07
295,1FTEW1CM6BK842287,Aston Martin,DB9,2005,2010-11-15
296,WP0AB2A96FS587664,Infiniti,G,2017,2010-02-10
297,WAUJT54B52N247537,Ford,E150,2008,2002-12-02
298,WVGAV7AX8BW900795,Dodge,Dakota,2019,2018-03-08
299,WAUDF78E47A965700,Audi,A5,2019,2013-02-22
300,WAUR2AFD3EN929365,Mitsubishi,Galant,2007,2019-01-14
301,WAUVT58E05A914306,Mazda,Mazda6,2016,2013-10-20
302,WP0AB2A94AS997923,Ferrari,F430,2013,2001-05-15
303,KMHCT4AE1CU203736,Pontiac,Firefly,2008,2008-05-13
304,19UUA65666A248465,Pontiac,Firebird,2014,2001-11-28
305,19UUA56681A829273,Saab,9-7X,2002,2021-05-20
306,1GYUCBEF2AR121024,Ford,Mustang,2011,2020-09-04
307,SCBEC9ZAXFC023406,Mercury,Mariner,2006,2014-10-18
308,WBANN73546C095819,Maybach,62,1999,2014-11-08
309,1G6AB5RX2D0549400,Hummer,H2 SUT,2017,2003-12-08
310,WBA1F5C51FV555118,Volkswagen,Jetta,2006,2020-03-21
311,JTDBT4K35B1450478,Mitsubishi,Truck,2020,2016-11-28
312,JH4CU4F69DC765568,Ford,Explorer Sport Trac,2014,2001-07-26
313,WAUEV74F27N634404,Ford,F450,2012,2018-11-02
314,WAUJT54B03N617987,Honda,CR-X,2002,2012-04-02
315,KL4CJCSB2DB063566,Mercedes-Benz,G-Class,2007,2016-11-10
316,3N1CN7AP9EL105040,GMC,Yukon XL 2500,2018,2016-04-29
317,JTJHY7AX4B4076751,Hyundai,Equus,2020,2011-09-29
318,5UXFB93533L527533,Kia,Forte,2012,2009-04-13
319,JTDZN3EU1FJ896818,Lexus,IS,2020,2014-12-09
320,WAUEV74F98N062054,Ford,Probe,2009,2007-04-06
321,1G6DV5EP4C0903023,Mercedes-Benz,G-Class,2003,2006-10-01
322,3C6LD5BT0CG530644,Chevrolet,Tahoe,2004,2012-10-19
323,SCBCR63W54C368512,Mazda,Protege,2013,2016-07-23
324,1GD02ZCG5DF117207,Porsche,Cayenne,2020,2019-08-15
325,3C6TD5JT2CG232629,Honda,Fit,2002,2009-04-06
326,WBANF33546C571394,Mitsubishi,Lancer,2006,2012-08-30
327,KNADM5A39D6780639,Chevrolet,Lumina,2015,2014-11-24
328,SCBBR53W568535463,Dodge,Ram 1500,2013,2000-06-18
329,WAUAC68D81A125827,Cadillac,SRX,2011,2001-11-30
330,WAUEH94F57N149998,Mazda,626,2005,2015-03-09
331,1C4RDJDG6DC563969,GMC,Sierra 1500,2016,2009-02-11
332,WBA5A7C59ED792259,Saab,9-7X,2018,2002-02-03
333,1GD02ZCG8BF421273,Infiniti,QX56,1999,2012-05-24
334,SCFPDCGP8EG854094,Lincoln,Town Car,2004,2017-02-25
335,WBAWL735X7P815788,Mazda,MX-5,2011,2011-08-05
336,2G4GU5GVXC9150933,Land Rover,LR2,2000,2018-09-17
337,WA1WGAFP4EA781925,Acura,Legend,2007,2021-10-16
338,SALAC2D49CA421081,Pontiac,Bonneville,1999,2017-02-11
339,1GYS4SKJ2FR415009,Acura,NSX,2010,2006-02-20
340,JN1AV7AP4FM941479,Chevrolet,Suburban 1500,2017,2015-10-30
341,3D7LT2ET2AG415214,Honda,Accord,2015,2009-11-12
342,WP1AA2A20BL634869,Chevrolet,Corvette,2014,2013-09-15
343,WAULFAFH5DN359591,Maserati,GranSport,2020,2016-01-14
344,2G61S5S39D9236809,Nissan,Pathfinder,2009,2018-06-03
345,JH4KA965X3C329741,Chevrolet,Silverado 1500,2008,2002-02-22
346,WAUDF58E65A792974,Honda,Accord,2001,2008-01-11
347,5UXWX7C51E0395303,Ford,F150,2021,2015-09-28
348,WBA3B9C59DJ740646,Audi,5000S,2019,2002-01-11
349,1G6AB5R32F0415809,Nissan,Cube,2016,2018-09-03
350,1FMCU0F77DU203478,Volvo,C70,2016,2008-05-01
351,WBAGN63404D852040,Mitsubishi,Pajero,2021,2019-10-25
352,WBAWR335X8P256994,Isuzu,i-370,2016,2016-01-18
353,5UXFB33572L930412,Pontiac,Bonneville,2020,2008-03-11
354,1G6AL5S33D0861472,Subaru,Legacy,2001,2004-04-14
355,2G61N5S3XF9606868,Mercedes-Benz,S-Class,1999,2021-03-16
356,WAUDGBFL6CA700188,Lexus,GS,2006,2002-03-04
357,WBACN534X1L120511,GMC,Savana 2500,2007,2019-03-30
358,1N6AA0CA2CN511087,Plymouth,Grand Voyager,2012,2017-10-05
359,2C4JDGAG4CR354921,Oldsmobile,Aurora,2000,2004-05-24
360,1N6AA0CC0EN131038,Chevrolet,HHR Panel,2021,2015-06-18
361,SAJWA4FB0EL598198,Volvo,S60,2020,2007-10-25
362,3VWKX7AJ6AM141610,Toyota,Solara,2010,2001-09-19
363,1G6DJ5EG7A0031929,Hummer,H1,2006,2012-09-10
364,2T3BF4DV2BW791229,Fiat,500,1999,2016-04-13
365,1GYS4GKJ1FR255685,Land Rover,Range Rover,1999,2020-04-16
366,WAUVC68E94A903681,Plymouth,Fury,2011,2002-12-27
367,1D4PT4GX8BW209599,Lamborghini,Aventador,2018,2007-11-12
368,KL4CJGSB1EB484199,Nissan,300ZX,2010,2020-08-09
369,1G6DH5E52C0259852,Infiniti,G,2006,2021-06-10
370,1G6DC5EY1B0635058,Mercedes-Benz,M-Class,2020,2007-06-28
371,1G6DC5EG5A0342916,Mitsubishi,Montero,2018,2013-10-20
372,WAUDF98E28A806848,Buick,LeSabre,2012,2001-01-24
373,5N1AA0NCXBN097701,Cadillac,CTS-V,2007,2003-04-30
374,WBAFU9C5XBC199874,Lamborghini,Murciélago LP640,2018,2015-09-06
375,WBA1J7C5XFV521513,Dodge,Charger,2019,2000-03-21
376,WAUSFAFL8BA694803,Cadillac,SRX,1999,2000-01-08
377,1C4AJWAG8FL562428,Ford,E350,2007,2015-07-31
378,3D73M4EL2BG096035,Chevrolet,Silverado 1500,2013,2006-12-26
379,WAUWFAFH6AN869828,Pontiac,Grand Am,2017,2001-07-16
380,JTMHY7AJ9B5233747,Pontiac,G8,1999,2019-06-19
381,SCBLE47K98C321903,Hyundai,Scoupe,2007,2001-06-08
382,WAUNF98P58A949346,Pontiac,Torrent,2018,2014-04-10
383,5UXZV4C54BL130211,Hyundai,Azera,2015,2017-03-21
384,WBANF33547B259468,Plymouth,Voyager,2008,2001-07-23
385,1C4NJPBA9DD543539,Audi,A6,2019,2016-07-05
386,WAULC68E62A604265,Lexus,IS-F,2008,2019-12-09
387,1C3CDFBB7ED078170,Oldsmobile,Bravada,2021,2012-06-22
388,SCBFU7ZA5DC350122,Pontiac,Grand Prix,2013,2015-01-01
389,1GYUCJEF8AR599359,Saab,9000,2019,2021-06-30
390,JTJYWRBZXF2223786,Ford,F250,2018,2001-11-06
391,WBA3B5C51DF703926,Honda,Civic,2017,2003-08-19
