Vin:SAJWA4GB5EL831619, RegisterDate:11/8/1999, Make:GMC, Model:3500
Vin:WA1CMAFE1AD725167, RegisterDate:8/28/2000, Make:Mitsubishi, Model:Pajero
Vin:4T1BF1FK0CU160815, RegisterDate:8/31/2000, Make:Nissan, Model:Pathfinder
Vin:WBAYA8C50DD662856, RegisterDate:9/5/2000, Make:Toyota, Model:RAV4
Vin:JN1AV7AP8FM049736, RegisterDate:9/12/2000, Make:Chrysler, Model:Sebring
Vin:JTJBM7FX3F5552661, RegisterDate:9/21/2000, Make:Pontiac, Model:Bonneville
Vin:WBAPH735X9A077258, RegisterDate:10/1/2000, Make:Dodge, Model:Grand Caravan
Vin:KM8NU4CC7CU229839, RegisterDate:10/9/2000, Make:Pontiac, Model:G5
Vin:5TFCW5F19CX607339, RegisterDate:10/10/2000, Make:Toyota, Model:RAV4
Vin:JH4DC53804S346033, RegisterDate:10/19/2000, Make:Subaru, Model:Impreza WRX
Vin:1FTSW3A57AE403638, RegisterDate:10/30/2000, Make:Lotus, Model:Elan
Vin:WBAWV13517P702710, RegisterDate:11/3/2000, Make:Volkswagen, Model:Passat
Vin:1GKS1GEJ7DR737718, RegisterDate:11/13/2000, Make:Pontiac, Model:Bonneville
Vin:WP0CA2A83DK013510, RegisterDate:11/18/2000, Make:Saab, Model:9-5
Vin:1GKS1KE00ER583736, RegisterDate:11/21/2000, Make:Chrysler, Model:Imperial
Vin:JN8AF5MR6DT477209, RegisterDate:11/22/2000, Make:BMW, Model:5 Series
Vin:1C3ADEBZ7DV633206, RegisterDate:11/22/2000, Make:Acura, Model:Legend
Vin:4T1BF3EK8BU630391, RegisterDate:11/24/2000, Make:Infiniti, Model:G25
Vin:2G4WS52JX41659734, RegisterDate:12/13/2000, Make:Volkswagen, Model:GTI
Vin:SCBLF34F34C891646, RegisterDate:12/20/2000, Make:Dodge, Model:Ram Van 2500
Vin:1FTWX3B52AE124823, RegisterDate:12/23/2000, Make:GMC, Model:Yukon Denali
Vin:4T1BK3DB9AU430938, RegisterDate:12/23/2000, Make:Jeep, Model:Grand Cherokee
Vin:WBA3A5G53DN358918, RegisterDate:1/4/2001, Make:Aston Martin, Model:DBS
Vin:1GYFK53239R221254, RegisterDate:1/14/2001, Make:Ford, Model:F350
Vin:WAUDF98E28A806848, RegisterDate:1/24/2001, Make:Buick, Model:LeSabre
Vin:5J8TB4H38GL748129, RegisterDate:2/3/2001, Make:Dodge, Model:D350 Club
Vin:3D7LT2ETXAG239061, RegisterDate:2/16/2001, Make:Buick, Model:Riviera
Vin:JH4DC53073S401683, RegisterDate:2/20/2001, Make:Hyundai, Model:Elantra
Vin:1N6AD0CU2FN375307, RegisterDate:2/21/2001, Make:Nissan, Model:Armada
Vin:WBAFR7C56CC553252, RegisterDate:2/27/2001, Make:Maserati, Model:430
Vin:1N6AA0CH8EN217919, RegisterDate:3/3/2001, Make:Pontiac, Model:GTO
Vin:JN8AZ1MU7DW415871, RegisterDate:3/10/2001, Make:Chrysler, Model:LHS
Vin:1N4AL2EP0DC996746, RegisterDate:3/18/2001, Make:Chevrolet, Model:HHR
Vin:WAUEL74F36N818982, RegisterDate:3/24/2001, Make:Mitsubishi, Model:Mighty Max
Vin:1YVHZ8BH7B5678853, RegisterDate:4/18/2001, Make:Audi, Model:A6
Vin:3LN6L2LU7DR673400, RegisterDate:4/25/2001, Make:Audi, Model:S5
Vin:WAUML54BX2N191222, RegisterDate:4/30/2001, Make:Audi, Model:A5
Vin:JN1BY0AR7AM111737, RegisterDate:5/11/2001, Make:Toyota, Model:4Runner
Vin:WP0AB2A94AS997923, RegisterDate:5/15/2001, Make:Ferrari, Model:F430
Vin:WAUKH98E28A086405, RegisterDate:5/30/2001, Make:Ford, Model:Tempo
Vin:SCBLE47K98C321903, RegisterDate:6/8/2001, Make:Hyundai, Model:Scoupe
Vin:1N6AD0CU3FN100724, RegisterDate:6/8/2001, Make:Chevrolet, Model:Corvette
Vin:2T1KU4EE1CC399410, RegisterDate:6/15/2001, Make:Pontiac, Model:Grand Am
Vin:WVGAV7AX1FW091534, RegisterDate:6/17/2001, Make:Kia, Model:Sportage
Vin:1G6DA5EY4B0516538, RegisterDate:6/24/2001, Make:Dodge, Model:Ram Wagon B350
Vin:1G6DG8E53D0140231, RegisterDate:6/26/2001, Make:Pontiac, Model:Vibe
Vin:SCFFDCCD2AG303127, RegisterDate:7/1/2001, Make:Mercedes-Benz, Model:M-Class
Vin:5N1AN0NU8BC328362, RegisterDate:7/2/2001, Make:GMC, Model:Yukon XL 2500
Vin:1GKUCHE09AR714615, RegisterDate:7/10/2001, Make:Toyota, Model:Tundra
Vin:1FA6P8AM7F5805064, RegisterDate:7/11/2001, Make:Mitsubishi, Model:L300
Vin:WAUWFAFH6AN869828, RegisterDate:7/16/2001, Make:Pontiac, Model:Grand Am
Vin:WBANF33547B259468, RegisterDate:7/23/2001, Make:Plymouth, Model:Voyager
Vin:JH4CU4F69DC765568, RegisterDate:7/26/2001, Make:Ford, Model:Explorer Sport Trac
Vin:SCFFDAAM7DG744232, RegisterDate:8/12/2001, Make:Chevrolet, Model:Express 1500
Vin:WBAKX8C51BC338256, RegisterDate:8/18/2001, Make:Aston Martin, Model:V8 Vantage S
Vin:WD3PE7DC5F5075862, RegisterDate:9/7/2001, Make:Fillmore, Model:Fillmore
Vin:4T1BF1FK8DU539322, RegisterDate:9/12/2001, Make:Toyota, Model:Sienna
Vin:5TDBM5G16BS161350, RegisterDate:9/13/2001, Make:Ford, Model:Probe
Vin:1G6EC12902B473311, RegisterDate:9/14/2001, Make:Audi, Model:A3
Vin:WBA3N3C58EK130401, RegisterDate:9/14/2001, Make:Honda, Model:Accord
Vin:3VWKX7AJ6AM141610, RegisterDate:9/19/2001, Make:Toyota, Model:Solara
Vin:WVWAA7AJXCW553080, RegisterDate:9/20/2001, Make:Audi, Model:5000CS
Vin:1D7RW3BK3AS056130, RegisterDate:10/14/2001, Make:Chrysler, Model:PT Cruiser
Vin:1G6DL5E34C0135062, RegisterDate:10/16/2001, Make:Isuzu, Model:Rodeo
Vin:JN1AY1AR6DM393021, RegisterDate:10/30/2001, Make:Audi, Model:TT
Vin:JTJYWRBZXF2223786, RegisterDate:11/6/2001, Make:Ford, Model:F250
Vin:19UUA65666A248465, RegisterDate:11/28/2001, Make:Pontiac, Model:Firebird
Vin:WAUAC68D81A125827, RegisterDate:11/30/2001, Make:Cadillac, Model:SRX
Vin:WBAAV53421F910259, RegisterDate:1/3/2002, Make:Dodge, Model:Durango
Vin:WBA3B9C59DJ740646, RegisterDate:1/11/2002, Make:Audi, Model:5000S
Vin:3C6TD5FT1CG439960, RegisterDate:1/23/2002, Make:Dodge, Model:Dakota Club
Vin:WBA5A7C59ED792259, RegisterDate:2/3/2002, Make:Saab, Model:9-7X
Vin:WBANA73505B389380, RegisterDate:2/13/2002, Make:Mitsubishi, Model:Mirage
Vin:5N1AA0NC0EN866288, RegisterDate:2/17/2002, Make:Honda, Model:Accord
Vin:JH4KA965X3C329741, RegisterDate:2/22/2002, Make:Chevrolet, Model:Silverado 1500
Vin:WAUDGBFL6CA700188, RegisterDate:3/4/2002, Make:Lexus, Model:GS
Vin:1N6AD0CU1DN505896, RegisterDate:3/24/2002, Make:Chevrolet, Model:Cobalt
Vin:KNAFK4A67E5640289, RegisterDate:3/25/2002, Make:Porsche, Model:944
Vin:WBAGK93431D416899, RegisterDate:4/10/2002, Make:Lotus, Model:Esprit
Vin:KNAFU6A24D5597323, RegisterDate:4/12/2002, Make:Saab, Model:9-2X
Vin:SAJWA0JH5EM007040, RegisterDate:4/15/2002, Make:Suzuki, Model:Cultus
Vin:JN8AE2KP7F9345434, RegisterDate:4/16/2002, Make:Honda, Model:Fit
Vin:1GYS3BEF4CR855187, RegisterDate:4/21/2002, Make:Lamborghini, Model:Countach
Vin:WA1YL64B94N192191, RegisterDate:4/28/2002, Make:Dodge, Model:Ram
Vin:1FTEX1C88AF640624, RegisterDate:4/30/2002, Make:GMC, Model:Savana 1500
Vin:1G6AL1R33F0579866, RegisterDate:5/9/2002, Make:Subaru, Model:Tribeca
Vin:5UXFE4C58AL421702, RegisterDate:5/30/2002, Make:Dodge, Model:Viper
Vin:5UXFG83539L193198, RegisterDate:6/7/2002, Make:Chevrolet, Model:Silverado 2500
Vin:1ZVBP8AM1C5984820, RegisterDate:6/17/2002, Make:Mercedes-Benz, Model:S-Class
Vin:JTEBU5JR2A5130000, RegisterDate:7/16/2002, Make:Oldsmobile, Model:Cutlass Cruiser
Vin:JTEBU5JR7F5697360, RegisterDate:7/21/2002, Make:Pontiac, Model:Bonneville
Vin:WAUXF78K69A385600, RegisterDate:7/29/2002, Make:Bentley, Model:Continental GTC
Vin:WBA3T1C57FP081657, RegisterDate:8/5/2002, Make:Dodge, Model:Grand Caravan
Vin:1G6AL5S38E0738381, RegisterDate:8/12/2002, Make:Ford, Model:Tempo
Vin:WBANA53555B607866, RegisterDate:8/22/2002, Make:Volkswagen, Model:Passat
Vin:WVWED7AJ9AW071139, RegisterDate:8/26/2002, Make:GMC, Model:1500
Vin:YV4612HM9F1033525, RegisterDate:9/6/2002, Make:GMC, Model:Sierra 2500
Vin:WP1AA2A2XDL261892, RegisterDate:9/8/2002, Make:Nissan, Model:Sentra
Vin:YV126MEB2F1832915, RegisterDate:9/18/2002, Make:Chevrolet, Model:Tahoe
Vin:1GYEK63N34R826721, RegisterDate:9/19/2002, Make:Maybach, Model:Landaulet
Vin:5J8TB4H35EL795566, RegisterDate:9/25/2002, Make:Land Rover, Model:Freelander
Vin:JH4KB16627C154592, RegisterDate:10/24/2002, Make:Volkswagen, Model:Golf
Vin:WA1VMBFP9EA719091, RegisterDate:10/30/2002, Make:Chevrolet, Model:Colorado
Vin:WA1YD54B55N065186, RegisterDate:11/27/2002, Make:Suzuki, Model:Esteem
Vin:WAUJT54B52N247537, RegisterDate:12/2/2002, Make:Ford, Model:E150
Vin:4T1BF3EK9BU162865, RegisterDate:12/5/2002, Make:Chevrolet, Model:Tahoe
Vin:5N1BA0NE0FN853791, RegisterDate:12/11/2002, Make:Chevrolet, Model:Corsica
Vin:WAUVC68E94A903681, RegisterDate:12/27/2002, Make:Plymouth, Model:Fury
Vin:1N6AA0EK4FN202411, RegisterDate:1/1/2003, Make:Ford, Model:Taurus
Vin:1N6AD0CU6FN565143, RegisterDate:1/4/2003, Make:Land Rover, Model:Defender Ice Edition
Vin:ML32A3HJ3FH070237, RegisterDate:1/5/2003, Make:Subaru, Model:Leone
Vin:WAUHE78P29A950038, RegisterDate:1/5/2003, Make:Volvo, Model:V50
Vin:WAUKF78E68A659736, RegisterDate:1/16/2003, Make:Mazda, Model:B-Series Plus
Vin:WBA3B3G57FN605961, RegisterDate:1/23/2003, Make:Volkswagen, Model:Jetta
Vin:1GYS4FEJ2CR624992, RegisterDate:1/24/2003, Make:Mercury, Model:Topaz
Vin:1G4HP57208U438441, RegisterDate:1/28/2003, Make:Honda, Model:Prelude
Vin:5N1AN0NU8AC762182, RegisterDate:2/27/2003, Make:Infiniti, Model:G35
Vin:WDDLJ7DB3EA126374, RegisterDate:2/27/2003, Make:Dodge, Model:Ram 2500
Vin:YV140MAK0F1068224, RegisterDate:3/12/2003, Make:Lexus, Model:ES
Vin:SCBCR63W56C950239, RegisterDate:3/22/2003, Make:Cadillac, Model:SRX
Vin:JN1AZ4EH8FM780057, RegisterDate:3/23/2003, Make:Plymouth, Model:Roadrunner
Vin:WA1CGBFE6BD265079, RegisterDate:3/29/2003, Make:Ford, Model:Bronco
Vin:WAULC58E45A847362, RegisterDate:4/11/2003, Make:Chevrolet, Model:Cruze
Vin:WA1YD64B95N316281, RegisterDate:4/12/2003, Make:Lexus, Model:SC
Vin:3D73M4CL6AG400081, RegisterDate:4/15/2003, Make:Pontiac, Model:Bonneville
Vin:WAUVC68E54A280950, RegisterDate:4/18/2003, Make:Chevrolet, Model:Sportvan G30
Vin:NM0KS9BN9AT607074, RegisterDate:4/23/2003, Make:Honda, Model:Accord
Vin:5N1AA0NCXBN097701, RegisterDate:4/30/2003, Make:Cadillac, Model:CTS-V
Vin:WBA3B1C52EK805172, RegisterDate:4/30/2003, Make:Lotus, Model:Esprit
Vin:WAUDL74F35N736468, RegisterDate:5/8/2003, Make:Chevrolet, Model:Venture
Vin:1FMJU1F58AE668482, RegisterDate:5/12/2003, Make:Buick, Model:Skylark
Vin:19UUA86269A082976, RegisterDate:5/17/2003, Make:Audi, Model:A8
Vin:WBAYE4C55ED037917, RegisterDate:5/21/2003, Make:Chevrolet, Model:Silverado 2500
Vin:JHMGE8G34BS474957, RegisterDate:5/22/2003, Make:Nissan, Model:Xterra
Vin:1GYUCHEF0AR671289, RegisterDate:5/25/2003, Make:Aston Martin, Model:Vantage
Vin:SALAF2D46AA368053, RegisterDate:5/30/2003, Make:Chevrolet, Model:Corvette
Vin:2T1BU4EE5BC009312, RegisterDate:5/31/2003, Make:Toyota, Model:Land Cruiser
Vin:3VWKX8AJ7BM983606, RegisterDate:6/29/2003, Make:Acura, Model:TSX
Vin:JTDKDTB38C1006875, RegisterDate:6/30/2003, Make:Jeep, Model:Patriot
Vin:SAJWA2EK4EM416762, RegisterDate:7/2/2003, Make:Chevrolet, Model:Colorado
Vin:1N6AF0KX9EN003323, RegisterDate:7/5/2003, Make:Honda, Model:Pilot
Vin:WAUAF98E66A502356, RegisterDate:7/14/2003, Make:Mazda, Model:Mazda5
Vin:WBA3G7C58EF980314, RegisterDate:7/16/2003, Make:BMW, Model:X6
Vin:1FTEX1EW7AF807650, RegisterDate:8/7/2003, Make:Subaru, Model:Legacy
Vin:WBAWB33527P679393, RegisterDate:8/12/2003, Make:Mitsubishi, Model:Truck
Vin:KNAFX6A80E5829252, RegisterDate:8/15/2003, Make:Ford, Model:Crown Victoria
Vin:WBAEW53422P875846, RegisterDate:8/18/2003, Make:Ford, Model:F250
Vin:WBA3B5C51DF703926, RegisterDate:8/19/2003, Make:Honda, Model:Civic
Vin:3VW8S7AT2FM225408, RegisterDate:8/22/2003, Make:Pontiac, Model:6000
Vin:1G6DX67D990625490, RegisterDate:9/8/2003, Make:Pontiac, Model:GTO
Vin:WVWED7AJ3DW940290, RegisterDate:9/23/2003, Make:Alfa Romeo, Model:164
Vin:WAUCVAFR2BA615170, RegisterDate:9/30/2003, Make:Nissan, Model:JUKE
Vin:WAUMGAFL4AA063678, RegisterDate:10/6/2003, Make:Daewoo, Model:Nubira
Vin:5FPYK1F44CB026031, RegisterDate:10/16/2003, Make:Chevrolet, Model:Silverado 1500
Vin:1FMJU1J59AE173344, RegisterDate:10/20/2003, Make:Mazda, Model:626
Vin:3D7TP2HT7AG102451, RegisterDate:10/23/2003, Make:Chrysler, Model:Sebring
Vin:1N4AB7AP0EN915434, RegisterDate:10/24/2003, Make:Buick, Model:Electra
Vin:JN1AJ0HP4CM180876, RegisterDate:10/27/2003, Make:Lincoln, Model:Town Car
Vin:WBAPM73539E244175, RegisterDate:11/4/2003, Make:Suzuki, Model:XL7
Vin:WBAVS13508F132050, RegisterDate:11/24/2003, Make:Morgan, Model:Aero 8
Vin:2G4GZ5GV4B9842203, RegisterDate:12/6/2003, Make:Toyota, Model:Matrix
Vin:1G6AB5RX2D0549400, RegisterDate:12/8/2003, Make:Hummer, Model:H2 SUT
Vin:JN1AZ4EH8FM224086, RegisterDate:12/19/2003, Make:Buick, Model:Skylark
Vin:2C3CCASG3DH768985, RegisterDate:12/29/2003, Make:Buick, Model:Somerset
Vin:WAUMF78P76A823373, RegisterDate:12/29/2003, Make:Dodge, Model:Ram Wagon B250
Vin:2T1BPRHE5FC599839, RegisterDate:1/3/2004, Make:Chevrolet, Model:Corvette
Vin:5UXZV4C54CL965727, RegisterDate:1/5/2004, Make:Ford, Model:F150
Vin:5N1AA0NC6DN776951, RegisterDate:1/6/2004, Make:Chevrolet, Model:Express 2500
Vin:5UXKR2C53F0947607, RegisterDate:1/26/2004, Make:Buick, Model:Skylark
Vin:1G4HP57M39U611713, RegisterDate:2/9/2004, Make:Oldsmobile, Model:88
Vin:WAULC68EX2A254235, RegisterDate:2/11/2004, Make:Ford, Model:LTD Crown Victoria
Vin:WAULV94E89N758609, RegisterDate:2/15/2004, Make:Bentley, Model:Brooklands
Vin:1N6AD0CW4FN141641, RegisterDate:2/26/2004, Make:Mercedes-Benz, Model:SLK-Class
Vin:SAJWA6A79F8179978, RegisterDate:3/13/2004, Make:Isuzu, Model:Hombre Space
Vin:WDDJK7DA0EF075060, RegisterDate:4/9/2004, Make:Buick, Model:Rendezvous
Vin:1G6AL5S33D0861472, RegisterDate:4/14/2004, Make:Subaru, Model:Legacy
Vin:WVWED7AJ0DW722033, RegisterDate:4/15/2004, Make:Dodge, Model:Viper
Vin:WBASP4C58BC603943, RegisterDate:4/15/2004, Make:Subaru, Model:Forester
Vin:WBA4B1C54FG431611, RegisterDate:4/27/2004, Make:Mercedes-Benz, Model:500E
Vin:WA1CGAFE9ED698779, RegisterDate:5/6/2004, Make:Lexus, Model:ES
Vin:2C4JDGAG4CR354921, RegisterDate:5/24/2004, Make:Oldsmobile, Model:Aurora
Vin:1GYFC532X9R121715, RegisterDate:5/25/2004, Make:Ford, Model:Escort
Vin:WBANE73507C217951, RegisterDate:6/10/2004, Make:Kia, Model:Sorento
Vin:2D4JN1AG2BR628287, RegisterDate:6/11/2004, Make:Mitsubishi, Model:Galant
Vin:KNDJN2A23E7733837, RegisterDate:6/13/2004, Make:Toyota, Model:Supra
Vin:2G4WE587671661312, RegisterDate:6/24/2004, Make:Porsche, Model:911
Vin:1G6DG1E34E0480169, RegisterDate:7/7/2004, Make:Isuzu, Model:Trooper
Vin:2G4WS55J441296374, RegisterDate:7/13/2004, Make:Rolls-Royce, Model:Phantom
Vin:SCFEBBCF3CG375566, RegisterDate:7/13/2004, Make:GMC, Model:Sierra 2500
Vin:WBAEU33473P111261, RegisterDate:7/13/2004, Make:Saab, Model:900
Vin:1FTEW1CF0FF569671, RegisterDate:7/18/2004, Make:Lincoln, Model:Continental
Vin:WAUKD98P67A866922, RegisterDate:8/3/2004, Make:Acura, Model:TSX
Vin:JTDKN3DP5C3044047, RegisterDate:8/10/2004, Make:Audi, Model:A4
Vin:1G6AE5SX5F0625888, RegisterDate:8/22/2004, Make:Toyota, Model:Camry Hybrid
Vin:2C3CDZBG4FH216667, RegisterDate:8/24/2004, Make:Mercury, Model:Villager
Vin:WBACN33431L041878, RegisterDate:9/4/2004, Make:Volkswagen, Model:Corrado
Vin:WBA3N7C51EK519307, RegisterDate:9/5/2004, Make:Jeep, Model:Grand Cherokee
Vin:1G6DV5EP3C0972639, RegisterDate:9/6/2004, Make:Audi, Model:TT
Vin:5TDDK3DCXFS082990, RegisterDate:9/20/2004, Make:Mitsubishi, Model:Mirage
Vin:4T1BD1EB3EU731742, RegisterDate:9/25/2004, Make:BMW, Model:3 Series
Vin:YV126MFC8F1765793, RegisterDate:9/26/2004, Make:Volkswagen, Model:Jetta
Vin:1GKLRKED0AJ977021, RegisterDate:10/24/2004, Make:Chevrolet, Model:Aveo
Vin:3N1AB7AP1FY978334, RegisterDate:10/29/2004, Make:Saturn, Model:Ion
Vin:5FRYD4H66EB774350, RegisterDate:11/7/2004, Make:Suzuki, Model:Verona
Vin:1N4AL2AP3CC894474, RegisterDate:11/14/2004, Make:BMW, Model:M3
Vin:5NPDH4AE0EH622829, RegisterDate:12/11/2004, Make:Hyundai, Model:Entourage
Vin:3GYFNGE32ES021210, RegisterDate:12/13/2004, Make:Toyota, Model:Camry Hybrid
Vin:1FTEX1C89AK570848, RegisterDate:12/18/2004, Make:Mercedes-Benz, Model:300SL
Vin:JTEBU5JR4D5331899, RegisterDate:12/24/2004, Make:Acura, Model:Legend
Vin:2C3CCASG5DH085220, RegisterDate:1/10/2005, Make:Mercedes-Benz, Model:CLK-Class
Vin:1FTSW2B58AE887084, RegisterDate:1/16/2005, Make:Dodge, Model:Stratus
Vin:KNADH4A36B6433118, RegisterDate:1/24/2005, Make:Ford, Model:Flex
Vin:1G6KD57Y58U687084, RegisterDate:2/7/2005, Make:Lamborghini, Model:Diablo
Vin:WAUEV94F88N634131, RegisterDate:2/23/2005, Make:GMC, Model:Savana 1500
Vin:WBAYF8C58DD951226, RegisterDate:3/2/2005, Make:Lincoln, Model:Town Car
Vin:1D7RV1CP5AS896573, RegisterDate:4/8/2005, Make:Mitsubishi, Model:Montero Sport
Vin:WAULV44E57N454203, RegisterDate:4/12/2005, Make:Chevrolet, Model:Silverado 1500
Vin:SALAK2V68FA248080, RegisterDate:4/16/2005, Make:Chevrolet, Model:Express 1500
Vin:1FAHP2D87FG564163, RegisterDate:4/16/2005, Make:GMC, Model:Sierra 1500
Vin:3N1AB7AP7FL034941, RegisterDate:5/1/2005, Make:Pontiac, Model:Bonneville
Vin:19UUA8F35DA041109, RegisterDate:5/11/2005, Make:Ford, Model:Thunderbird
Vin:YV440MBM5F1130963, RegisterDate:5/20/2005, Make:Chevrolet, Model:G-Series G10
Vin:5GAKRBKD3EJ710376, RegisterDate:5/27/2005, Make:Chrysler, Model:Cirrus
Vin:JM1DE1KY0E0544145, RegisterDate:6/1/2005, Make:Chrysler, Model:Sebring
Vin:WBANB53556C161484, RegisterDate:6/2/2005, Make:Mazda, Model:B-Series Plus
Vin:1N6AA0EK1FN093647, RegisterDate:6/4/2005, Make:Chevrolet, Model:Corvette
Vin:WVWGU9ANXBE536316, RegisterDate:6/11/2005, Make:Ford, Model:E-Series
Vin:JM1DE1HY5B0550106, RegisterDate:6/18/2005, Make:Lotus, Model:Esprit
Vin:WDDGF4HB1DA347983, RegisterDate:6/29/2005, Make:Chevrolet, Model:Avalanche
Vin:YV126MFB7F1511497, RegisterDate:7/1/2005, Make:Pontiac, Model:6000
Vin:WAUPL68E04A071348, RegisterDate:7/1/2005, Make:Lexus, Model:LS
Vin:19UUA56883A683719, RegisterDate:7/2/2005, Make:Nissan, Model:Maxima
Vin:5N1AN0NU5BC555878, RegisterDate:7/22/2005, Make:Subaru, Model:Legacy
Vin:WAUPFAFM3BA454086, RegisterDate:7/26/2005, Make:Subaru, Model:XT
Vin:1GD120EG1BF347546, RegisterDate:8/11/2005, Make:Ford, Model:F-Series
Vin:JTJBARBZ1F2292032, RegisterDate:8/21/2005, Make:Mitsubishi, Model:Montero
Vin:JM1NC2JF1F0810192, RegisterDate:9/2/2005, Make:Ford, Model:F250
Vin:4T1BD1EB0EU529229, RegisterDate:9/29/2005, Make:Mercedes-Benz, Model:CL-Class
Vin:WBAVB73527P969250, RegisterDate:10/1/2005, Make:Ford, Model:Probe
Vin:1C4RDJEG1EC086304, RegisterDate:10/8/2005, Make:Chevrolet, Model:Cavalier
Vin:WAUHF78P68A279825, RegisterDate:10/16/2005, Make:Ford, Model:Ranger
Vin:WBAEP33432P772436, RegisterDate:11/4/2005, Make:Lexus, Model:SC
Vin:4T1BF3EK3AU342518, RegisterDate:11/7/2005, Make:Honda, Model:Fit
Vin:WAUKG78E25A696663, RegisterDate:11/16/2005, Make:Toyota, Model:Prius
Vin:KMHHT6KD9AU573496, RegisterDate:11/18/2005, Make:Mazda, Model:Miata MX-5
Vin:1FTEW1C88FK086647, RegisterDate:11/29/2005, Make:Mercury, Model:Grand Marquis
Vin:1G6DA1ED9B0153434, RegisterDate:12/12/2005, Make:Mercury, Model:Villager
